#output name: AD3.2 Left Out; unit: mmHg; start buffer datetime: 2020-12-01 12:12:10.701442
timestamp,vb.va
12:12:28.379,101.39267998248312
12:12:28.384,101.43237302208394
12:12:28.389,101.3621300292454
12:12:28.394,101.41830252390815
12:12:28.399,101.87644232443228
12:12:28.404,102.34679115644752
12:12:28.409,103.60875607065412
12:12:28.414,105.29644936546259
12:12:28.419,107.2126103213115
12:12:28.424,109.3590456558656
12:12:28.429,110.96549140478754
12:12:28.434,112.35759473986485
12:12:28.439,113.72582750216151
12:12:28.444,114.72576360598242
12:12:28.449,115.88447186820662
12:12:28.454,117.09940737411381
12:12:28.459,118.04678441860113
12:12:28.464,119.07420453053174
12:12:28.469,119.97515440594105
12:12:28.474,121.04412902415737
12:12:28.479,121.94141071521727
12:12:28.484,123.10751009516031
12:12:28.489,124.33038420898771
12:12:28.494,125.3925699487067
12:12:28.499,126.44134217849165
12:12:28.504,127.40218748193314
12:12:28.509,128.53280949682602
12:12:28.514,129.21755549170592
12:12:28.519,130.31828454160285
12:12:28.524,131.0555348467962
12:12:28.529,131.93754156123742
12:12:28.534,132.65957163883212
12:12:28.54,133.197097518558
12:12:28.545,133.89038436057962
12:12:28.55,134.30817413326116
12:12:28.555,134.74550930613242
12:12:28.56,135.0020632145044
12:12:28.565,135.32639640980852
12:12:28.57,135.45407112477295
12:12:28.575,135.5786798946096
12:12:28.58,135.68133430737038
12:12:28.585,135.55853225519837
12:12:28.59,135.48768702313834
12:12:28.595,135.23053087554484
12:12:28.6,135.16335382783421
12:12:28.605,134.9629724141251
12:12:28.61,134.46086915042923
12:12:28.615,133.89892520772133
12:12:28.62,133.03766837191284
12:12:28.625,131.80378970503756
12:12:28.63,130.1771963167044
12:12:28.635,128.11441748492285
12:12:28.64,125.35594285423366
12:12:28.645,122.53943426219683
12:12:28.65,120.4155555239401
12:12:28.655,120.49806229728978
12:12:28.66,123.05068061225592
12:12:28.665,126.41878558219429
12:12:28.67,128.44000990769024
12:12:28.675,128.14250373225428
12:12:28.68,126.51344663801484
12:12:28.685,124.96864828576946
12:12:28.69,124.48307922615567
12:12:28.695,124.93568937564572
12:12:28.7,125.21666134699973
12:12:28.705,125.22947261771225
12:12:28.71,124.7579193072541
12:12:28.715,124.19904130967399
12:12:28.72,124.09091199489916
12:12:28.725,124.29063642036664
12:12:28.73,124.58140846632551
12:12:28.735,124.86725310047183
12:12:28.74,124.86238043767952
12:12:28.745,124.64491732968696
