#output name: AD4.1 Aortic Flow; unit: L/min; start buffer datetime: 2020-12-01 12:12:11.208095
timestamp,vb.va
12:12:24.035,-0.19162088550734424
12:12:24.04,-0.2455702348723392
12:12:24.045,-0.26398963377010887
12:12:24.05,-0.25242018767820085
12:12:24.055,-0.23580960941907847
12:12:24.06,-0.18207362446040065
12:12:24.065,-0.09650175935286143
12:12:24.07,-0.001169268792061473
12:12:24.075,0.16184750672261572
12:12:24.08,0.4178911633924898
12:12:24.085,0.8199142885052844
12:12:24.09,1.3327085704749315
12:12:24.095,1.9290175025299945
12:12:24.1,2.616576340535392
12:12:24.105,3.4106486009013928
12:12:24.11,4.236524895982477
12:12:24.115,5.022183592744067
12:12:24.12,5.8258031141570115
12:12:24.125,6.660446457157455
12:12:24.13,7.458387937727601
12:12:24.135,8.161847200818855
12:12:24.14,8.825483748969468
12:12:24.145,9.457000992610588
12:12:24.15,9.99339911009723
12:12:24.155,10.36550345017465
12:12:24.16,10.661723306100107
12:12:24.165,10.915954957587964
12:12:24.17,11.087490386638521
12:12:24.175,11.173415736061003
12:12:24.18,11.209655839701504
12:12:24.185,11.247204790670317
12:12:24.19,11.243940633707965
12:12:24.195,11.153789395223008
12:12:24.2,11.023391897528157
12:12:24.205,10.85118134528149
12:12:24.21,10.653204652564227
12:12:24.215,10.431872518713455
12:12:24.22,10.262715943566192
12:12:24.225,10.129194408817618
12:12:24.23,10.04266399615333
12:12:24.235,9.969371730310975
12:12:24.24,9.87971728059297
12:12:24.245,9.737747152262834
12:12:24.25,9.47954119063936
12:12:24.255,9.165573874468869
12:12:24.26,8.779451174441931
12:12:24.265,8.404261011831316
12:12:24.27,8.066619800189521
12:12:24.275,7.791023047179344
12:12:24.28,7.530294927200572
12:12:24.285,7.249940466383812
12:12:24.29,6.905662666342472
12:12:24.295,6.415653792241692
12:12:24.3,5.7162388992403805
12:12:24.305,4.804083770421862
12:12:24.31,3.692531642539546
12:12:24.315,2.457855514037501
12:12:24.32,1.283800353277151
12:12:24.325,0.2918214601482063
12:12:24.33,-0.49156984172832097
12:12:24.336,-0.9513733218897222
12:12:24.341,-1.0015235110048835
12:12:24.346,-0.783423688682678
12:12:24.351,-0.5608495829145248
12:12:24.356,-0.36255443585947944
12:12:24.36,-0.16365422556263098
12:12:24.365,-0.09213575038176103
12:12:24.37,-0.22920805099669295
12:12:24.375,-0.4756312021219351
12:12:24.38,-0.6749231112542624
12:12:24.385,-0.8866347395604031
12:12:24.39,-1.0666888221468405
12:12:24.395,-1.21004104230299
12:12:24.4,-1.2925971448316567
12:12:24.405,-1.320777169182687
12:12:24.41,-1.3357922912094828
12:12:24.415,-1.3404066945640594
12:12:24.42,-1.3456930365713724
12:12:24.425,-1.321808961237128
12:12:24.43,-1.2932372380506116
12:12:24.435,-1.2444341107843044
12:12:24.44,-1.1723487868821678
12:12:24.445,-1.0613292356418356
12:12:24.45,-0.9558444207922925
12:12:24.455,-0.8607603246149687
12:12:24.46,-0.7398750579899023
12:12:24.465,-0.6239194645138255
12:12:24.47,-0.5204249892754689
12:12:24.475,-0.4467760545747872
12:12:24.48,-0.37185330252294335
12:12:24.485,-0.3235469640235884
12:12:24.49,-0.30885348087795705
12:12:24.495,-0.3207063513305002
12:12:24.5,-0.34924304453985755
12:12:24.505,-0.3729869999654767
12:12:24.51,-0.38140056356988694
12:12:24.515,-0.3825342610124203
12:12:24.52,-0.38704357443552695
12:12:24.525,-0.38100886473440454
12:12:24.53,-0.36894262987554427
12:12:24.535,-0.3584017912946962
12:12:24.54,-0.3577266680985822
12:12:24.545,-0.344628641185281
12:12:24.55,-0.331037010048405
12:12:24.555,-0.3076465389377354
12:12:24.56,-0.2930931757007329
12:12:24.565,-0.2791448757055335
12:12:24.57,-0.2725082873059925
12:12:24.575,-0.2564677423115107
12:12:24.58,-0.24088577156344826
12:12:24.585,-0.2335740599677898
12:12:24.59,-0.21774369483625478
12:12:24.595,-0.21156886522650709
12:12:24.6,-0.2209377918442854
12:12:24.605,-0.23492112181664382
12:12:24.61,-0.24681220678971982
12:12:24.615,-0.27591574872034386
12:12:24.62,-0.2966789715442495
12:12:24.625,-0.31484997605854304
12:12:24.63,-0.3501315321422922
12:12:24.635,-0.376394461379828
12:12:24.64,-0.38704357443552695
12:12:24.645,-0.38168398793052205
12:12:24.65,-0.3831743542313788
12:12:24.655,-0.38764545313394905
12:12:24.66,-0.38384947742749276
12:12:24.665,-0.3944954059398107
12:12:24.67,-0.4298820519550297
12:12:24.675,-0.4674692174443784
12:12:24.68,-0.5201383803714563
12:12:24.685,-0.5734508210608737
12:12:24.69,-0.6506823670616946
12:12:24.695,-0.7128287310814017
12:12:24.7,-0.7892068194569433
12:12:24.705,-0.88237700506415
12:12:24.71,-0.9609556129138213
12:12:24.715,-1.0166086929859937
12:12:24.72,-1.0661570034027328
12:12:24.725,-1.1071834757402108
12:12:24.73,-1.1049128963117703
12:12:24.735,-1.0675390952287387
12:12:24.74,-1.012774502759001
12:12:24.745,-0.9461570398367236
12:12:24.75,-0.8258354373895429
12:12:24.755,-0.6585959573557716
12:12:24.76,-0.48003224107019093
12:12:24.765,-0.31861410633122134
12:12:24.77,-0.2163233884897089
12:12:24.775,-0.1326686184956678
12:12:24.78,-0.11591473578453915
12:12:24.785,-0.16283579791451075
12:12:24.79,-0.24904775624100495
12:12:24.795,-0.32223493215189336
12:12:24.8,-0.38683021002920626
12:12:24.805,-0.4190928189907055
12:12:24.81,-0.4105391354776664
12:12:24.815,-0.36553516846119294
