#output name: AD4.1 Aortic Flow; unit: L/min; start buffer datetime: 2020-12-02 13:07:02.962914
timestamp,vb_va
13:07:32.649,-1.8185244836917605
13:07:32.654,-1.3454000585806085
13:07:32.659,-0.7089754335941443
13:07:32.664,-0.11996547496122645
13:07:32.669,0.37860663628272206
13:07:32.675,0.6916536194170035
13:07:32.68,0.9000342153498586
13:07:32.685,1.2314337219709692
13:07:32.69,1.994284719060044
13:07:32.695,3.407728374623858
13:07:32.7,5.373725336230393
13:07:32.705,7.670765135599723
13:07:32.71,9.976928651746732
13:07:32.715,11.966459388915943
13:07:32.72,13.351009682412077
13:07:32.725,14.176860501146137
13:07:32.73,14.716073754978837
13:07:32.735,15.072847703235055
13:07:32.74,15.334078981067535
13:07:32.745,15.450566393287716
13:07:32.75,15.4114188015432
13:07:32.755,15.054571608789288
13:07:32.76,14.378604508679452
13:07:32.765,13.438285278226793
13:07:32.77,12.465846743264635
13:07:32.775,11.617347452026955
13:07:32.78,10.812438190545961
13:07:32.785,10.051501104027004
13:07:32.79,9.192212579824997
13:07:32.795,8.18804325464545
13:07:32.8,6.9153309400377765
13:07:32.805,5.464978426724109
13:07:32.81,3.918223416274664
13:07:32.815,2.3894292304765727
13:07:32.82,1.0140026537581264
13:07:32.825,-0.1753001006956083
13:07:32.83,-0.995014304340458
13:07:32.835,-1.2870496702673542
13:07:32.84,-1.0057302928070904
13:07:32.845,-0.4123224797692906
13:07:32.85,0.35933377975967673
13:07:32.855,1.0428928312824297
13:07:32.86,1.2718232856328697
13:07:32.865,0.5235574972145756
13:07:32.87,-0.9168560562166697
13:07:32.875,-2.7850015534504884
13:07:32.88,-4.679585129807627
13:07:32.885,-6.315106102372642
13:07:32.89,-7.391717420312645
13:07:32.895,-7.641624461893311
13:07:32.9,-7.3103682597242
13:07:32.905,-6.587480097484388
13:07:32.91,-5.704944406623717
13:07:32.915,-4.791353048741769
13:07:32.92,-3.9957744993580206
13:07:32.925,-3.4019049275304276
13:07:32.93,-2.943617290016906
13:07:32.935,-2.690019362661257
13:07:32.94,-2.5832925758943333
13:07:32.945,-2.6281213930250225
13:07:32.95,-2.742478345725395
13:07:32.955,-2.964915516128297
13:07:32.96,-3.1939510604102104
13:07:32.965,-3.4672836030787053
13:07:32.97,-3.7186459809830694
13:07:32.975,-3.8803889391465844
13:07:32.98,-3.9876475446576194
13:07:32.985,-3.962129798570512
13:07:32.99,-3.8659406658410553
13:07:32.995,-3.6556811893152386
13:07:33.0,-3.4242667911300373
13:07:33.005,-3.2141124045356904
13:07:33.01,-3.1070639788875987
13:07:33.015,-3.106248735782856
13:07:33.02,-3.2058421453832864
13:07:33.025,-3.4380717866732304
13:07:33.03,-3.69053601658635
13:07:33.035,-3.967381110600666
13:07:33.04,-4.138919724194604
13:07:33.045,-4.23957677128325
13:07:33.05,-4.208734468668293
13:07:33.055,-4.122805934702431
13:07:33.06,-3.988252607899419
13:07:33.065,-3.7974761677595943
13:07:33.07,-3.634739632062171
13:07:33.075,-3.4341325065147714
13:07:33.08,-3.2293377064254294
13:07:33.085,-2.9835833094095463
13:07:33.09,-2.7413096183057064
13:07:33.095,-2.50659284863762
13:07:33.1,-2.357416098643295
13:07:33.105,-2.334309051893257
13:07:33.11,-2.443414692563472
13:07:33.115,-2.7027989352367676
13:07:33.12,-2.995404334428308
13:07:33.125,-3.2704374232605993
13:07:33.13,-3.3323385774402112
13:07:33.135,-3.1413137429169105
13:07:33.14,-2.6150233661117213
13:07:33.145,-1.9393779048830488
13:07:33.15,-1.2469085009889298
13:07:33.155,-0.631775733027105
13:07:33.16,-0.18314363103537445
13:07:33.165,0.2885222732087023
13:07:33.17,0.8746916191485319
13:07:33.175,1.9632640820159253
13:07:33.18,3.5807191399981164
13:07:33.185,5.6352718838572855
13:07:33.19,7.867503040942978
13:07:33.195,9.983495180191959
13:07:33.2,11.741821699038915
13:07:33.205,12.952101040722873
13:07:33.21,13.799533509928956
13:07:33.214,14.448489313107451
13:07:33.219,15.03685917852141
13:07:33.224,15.534577832140087
13:07:33.229,15.89905837537082
13:07:33.234,16.136825937594935
13:07:33.239,16.030522695097268
13:07:33.244,15.572448421990067
13:07:33.249,14.794298878513565
13:07:33.254,13.873430839013118
13:07:33.259,12.84232027685654
13:07:33.264,11.731210800503753
13:07:33.269,10.595147242241744
13:07:33.274,9.451453518046286
13:07:33.279,8.339917312880857
13:07:33.284,7.198567412611538
13:07:33.29,6.029744456621074
13:07:33.295,4.777865424791617
13:07:33.3,3.462598057025069
13:07:33.305,2.0903655773146532
13:07:33.31,0.7532713492359804
13:07:33.315,-0.22644386734467403
13:07:33.32,-0.736658669178226
13:07:33.325,-0.712841469254915
13:07:33.33,-0.31641995594384653
13:07:33.335,0.2356047158981447
13:07:33.34,0.6798708089187748
13:07:33.345,0.4897694919750606
13:07:33.35,-0.45771814562125
13:07:33.355,-2.0874559874119996
13:07:33.36,-4.022680706357892
13:07:33.365,-5.854796279814156
13:07:33.37,-7.318460184447446
13:07:33.375,-8.04298201744012
13:07:33.38,-8.01561723619383
13:07:33.385,-7.373829840158983
13:07:33.39,-6.390990586524609
13:07:33.395,-5.278460803825279
13:07:33.4,-4.225061622566784
13:07:33.405,-3.32318301522875
13:07:33.41,-2.659957273173884
13:07:33.415,-2.201956244564375
13:07:33.42,-1.9142136431108874
13:07:33.425,-1.773517332131906
13:07:33.43,-1.7410063287869306
13:07:33.435,-1.8088689481699696
13:07:33.44,-1.8821261840351724
13:07:33.445,-1.9918719179243425
13:07:33.45,-2.1080058458295845
